,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,state,family,edad
0,0,3,male,1,0,7.25,S,Mr,2,1
1,1,1,female,1,0,71.2833,C,Mrs,2,4
2,1,3,female,0,0,7.925,S,Miss,1,2
3,1,1,female,1,0,53.1,S,Mrs,2,4
4,0,3,male,0,0,8.05,S,Mr,1,4
5,0,3,male,0,0,8.4583,Q,Mr,1,2
6,0,1,male,0,0,51.8625,S,Mr,1,5
7,0,3,male,3,1,21.075,S,Master,5,0
8,1,3,female,0,2,11.1333,S,Mrs,3,2
9,1,2,female,1,0,30.0708,C,Mrs,2,0
10,1,3,female,1,1,16.7,S,Miss,3,0
11,1,1,female,0,0,26.55,S,Miss,1,5
12,0,3,male,0,0,8.05,S,Mr,1,1
13,0,3,male,1,5,31.275,S,Mr,7,4
14,0,3,female,0,0,7.8542,S,Miss,1,0
15,1,2,female,0,0,16.0,S,Mrs,1,5
16,0,3,male,4,1,29.125,Q,Master,6,0
17,1,2,male,0,0,13.0,S,Mr,1,3
18,0,3,female,1,0,18.0,S,Mrs,2,3
19,1,3,female,0,0,7.225,C,Mrs,1,3
20,0,2,male,0,0,26.0,S,Mr,1,4
21,1,2,male,0,0,13.0,S,Mr,1,4
22,1,3,female,0,0,8.0292,Q,Miss,1,0
23,1,1,male,0,0,35.5,S,Mr,1,2
24,0,3,female,3,1,21.075,S,Miss,5,0
25,1,3,female,1,5,31.3875,S,Mrs,7,4
26,0,3,male,0,0,7.225,C,Mr,1,2
27,0,1,male,3,2,263.0,S,Mr,6,1
28,1,3,female,0,0,7.8792,Q,Miss,1,0
29,0,3,male,0,0,7.8958,S,Mr,1,2
30,0,1,male,0,0,27.7208,C,Mr,1,4
31,1,1,female,1,0,146.5208,C,Mrs,2,4
32,1,3,female,0,0,7.75,Q,Miss,1,0
33,0,2,male,0,0,10.5,S,Mr,1,5
34,0,1,male,1,0,82.1708,C,Mr,2,2
35,0,1,male,1,0,52.0,S,Mr,2,4
36,1,3,male,0,0,7.2292,C,Mr,1,2
37,0,3,male,0,0,8.05,S,Mr,1,1
38,0,3,female,2,0,18.0,S,Miss,3,1
39,1,3,female,1,0,11.2417,C,Miss,2,0
40,0,3,female,1,0,9.475,S,Mrs,2,4
